fid,DN,Area-km2
956,803,0.028865094
957,803,0.007216299
958,806,0.115460227
959,802,1.508126958
960,1200,0.570078206
961,805,0.057731213
962,1126,2.5543746
963,569,0.584500192
964,1088,4.24250585
965,1125,4.69703512
966,793,11.41421086
967,1119,2.020505868
968,1125,0.021649783
969,1124,0.007216631
970,816,3.73755267
971,815,1.183378081
972,570,2.027721178
973,959,1.645286512
974,1127,1.349456803
975,309,2.590529304
976,1123,0.180416638
977,816,0.007216763
978,1121,1.493775172
979,995,0.656692988
980,315,4.105880248
981,1159,2.4461876
982,960,0.606158789
983,809,4.733212634
984,1128,0.007216829
985,795,0.476269588
986,810,2.280267032
987,813,0.360834051
988,987,0.007216896
989,1124,0.180420266
990,1164,0.007216896
991,159,0.959765519
992,1217,4.631517077
993,1153,1.147387096
994,807,0.743312025
995,1188,0.021650777
996,1189,3.485267158
997,162,3.889567289
998,312,7.143530862
999,1188,0.007217028
1000,1220,0.007217028
1001,1218,5.303068702
1002,823,0.036085183
1003,1187,0.043302126
1004,1186,0.007217094
1005,1187,0.007217094
1006,1220,0.007217094
1007,819,3.283235011
1008,1220,1.88353852
1009,817,0.483518887
1010,1211,0.649515221
1011,961,1.76090709
1012,811,3.434994073
1013,1190,2.085575005
1014,1185,3.369939383
1015,963,0.122692888
1016,824,0.288687429
1017,1120,2.258734372
1018,987,0.13712784
1019,310,5.065911058
1020,160,2.23717333
1021,567,0.598986077
1022,997,4.214404207
1023,988,0.844397204
1024,935,5.729429807
1025,1212,4.402349183
1026,1133,0.497988577
1027,1092,4.82744167
1028,794,4.351671882
1029,568,0.447465126
1030,989,0.079392717
1031,1128,1.226916401
1032,820,2.367156009
1033,935,0.007217691
1034,566,0.007217691
1035,808,1.501141712
1036,1122,1.970256663
1037,818,0.541298826
1038,1213,0.447492033
1039,827,0.007217823
1040,796,4.012605856
1041,835,1.674342956
1042,836,2.764079042
1043,936,7.887078036
1044,1213,0.77228712
1045,1130,4.590020567
1046,825,2.403189688
1047,962,1.320802469
1048,565,4.077554369
1049,566,0.137141154
1050,1160,5.556785722
1051,1216,1.696130875
1052,831,2.922739658
1053,1216,0.00721822
1054,1191,11.54557771
1055,1198,5.088122748
1056,1219,12.27528239
1057,1186,8.798024501
1058,564,0.093837894
1059,563,0.050528313
1060,964,6.365330771
1061,353,0.122710402
1062,832,2.52591669
1063,564,0.007218485
1064,1215,2.923290591
1065,316,10.93393956
1066,561,0.036092426
1067,356,0.10827646
1068,1222,0.007218551
1069,354,0.079403812
1070,562,0.216553486
1071,356,0.036092799
1072,366,0.007218618
1073,356,0.007218618
1074,999,3.009715248
1075,814,1.992086069
1076,355,4.272887425
1077,1224,0.483637387
1078,965,0.757893869
1079,1222,0.050530324
1080,559,0.007218684
1081,356,0.007218684
1082,356,0.007218684
1083,1192,5.759235068
1084,986,0.00721875
1085,833,3.847106658
1086,561,0.158811347
1087,1228,0.02165634
1088,360,0.007218816
1089,826,10.50844229
1090,1134,5.13932711
1091,1221,0.115500561
1092,837,2.172651068
1093,966,2.208832053
1094,838,0.822908993
1095,937,10.00922727
1096,357,7.895972737
1097,1223,0.902343047
1098,359,0.072189469
1099,834,3.695683083
1100,359,0.007219081
1101,560,0.786834781
1102,1000,2.656127056
1103,1214,6.518143522
1104,360,0.252669416
1105,558,0.00721928
1106,1135,4.071098815
1107,1151,0.007219412
1108,812,6.222013827
1109,969,0.425937303
1110,407,1.364321536
1111,967,5.998514796
1112,446,1.039564828
1113,445,3.262907361
1114,408,5.543594533
1115,978,0.093853681
1116,1132,2.620250518
1117,976,0.007219611
1118,970,0.007219611
1119,969,0.007219611
1120,408,0.007219611
1121,411,6.149846505
1122,388,15.58200136
1123,387,16.88675075
1124,978,0.007219677
1125,968,0.007219677
1126,972,0.007219677
1127,972,0.007219677
1128,390,2.642097507
1129,977,1.183961288
1130,1136,2.894616401
1131,975,0.851872483
1132,968,0.945733972
1133,978,0.007219743
1134,972,0.007219743
1135,1154,6.466956393
1136,821,4.598166741
1137,1161,7.398199923
1138,409,0.303227456
1139,973,0.231028666
1140,448,0.007219875
1141,1131,4.627002088
1142,389,1.191226305
1143,559,2.050305332
1144,974,0.129957546
1145,1163,5.529574695
1146,1193,6.67043896
1147,443,8.258522389
1148,827,3.652742769
1149,447,2.288686759
1150,1166,0.02888109
1151,1195,2.223624552
1152,410,0.649801822
1153,412,7.464082802
1154,444,2.404261801
1155,979,1.617244891
1156,558,1.032428566
1157,1167,0.014440743
1158,1166,0.007220405
1159,1165,0.007220405
1160,450,0.007220405
1161,1129,9.194657661
1162,358,19.02723385
1163,1196,1.869875595
1164,976,0.786975094
1165,362,0.007220471
1166,383,1.725545107
1167,841,2.90925004
1168,556,1.147992692
1169,386,0.801414342
1170,365,1.321228855
1171,842,0.996326105
1172,1197,7.146106208
